"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"291",291,"A. Sabiri",21,"https://cdn.sofifa.com/players/237/499/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",65,76,"Huddersfield Town","https://cdn.sofifa.com/teams/1939/light_60.png","€925K","€8K",1681,"Right",1,4,3,"Medium/ Medium","LM",29,"2020",185,80,"63+2","63+2","63+2","65+2","64+2","64+2","64+2","65+2","63+2","63+2","63+2","64+2","57+2","57+2","57+2","64+2","52+2","48+2","48+2","48+2","52+2","50+2","47+2","47+2","47+2","50+2",58,60,68,53,41,76,72,66,50,74,71,72,77,63,63,55,70,65,67,59,53,28,57,54,57,64,28,37,39,8,6,14,8,12,"Premier League","UK",925000,8000,"Midfielder","A. Sabiri, LM",73.3333333333333,NA
"292",292,"A. Sadiku",27,"https://cdn.sofifa.com/players/216/479/20_120.png","Albania","https://cdn.sofifa.org/flags/1.png",69,70,"Levante UD","https://cdn.sofifa.com/teams/1853/light_60.png","€1.2M","€12K",1626,"Right",1,2,3,"Medium/ Low","ST",30,"2020",185,80,"68+2","68+2","68+2","63+2","66+2","66+2","66+2","63+2","63+2","63+2","63+2","61+2","57+2","57+2","57+2","61+2","49+2","50+2","50+2","50+2","49+2","48+2","49+2","49+2","49+2","48+2",39,68,65,63,51,67,54,31,41,72,66,72,60,66,55,73,65,53,77,64,58,39,70,46,63,63,36,37,24,9,15,9,11,7,"La Liga","Spain",1200000,12000,"Forward","A. Sadiku, ST",66,NA
"293",293,"A. Saint-Maximin",21,"https://cdn.sofifa.com/players/216/388/20_120.png","France","https://cdn.sofifa.org/flags/18.png",79,86,"OGC Nice","https://cdn.sofifa.com/teams/72/light_60.png","€18M","€31K",1823,"Right",2,4,4,"High/ Low","RS",7,"2020",173,67,"74+2","74+2","74+2","78+2","77+2","77+2","77+2","78+2","77+2","77+2","77+2","77+2","68+2","68+2","68+2","77+2","55+2","49+2","49+2","49+2","55+2","50+2","39+2","39+2","39+2","50+2",66,70,53,72,59,87,70,46,68,81,92,92,93,78,87,80,68,74,66,70,36,15,74,70,47,72,26,16,22,10,9,12,7,7,"Ligue 1","France",18000000,31000,"Forward","A. Saint-Maximin, RS",92.3333333333333,NA
"294",294,"A. Samaris",29,"https://cdn.sofifa.com/players/208/230/20_120.png","Greece","https://cdn.sofifa.org/flags/22.png",76,76,"SL Benfica","https://cdn.sofifa.com/teams/234/light_60.png","€6M","€12K",1991,"Right",2,3,2,"Medium/ High","CDM",22,"2019",188,84,"69+2","69+2","69+2","67+2","68+2","68+2","68+2","67+2","68+2","68+2","68+2","67+2","70+2","70+2","70+2","67+2","69+2","74+2","74+2","74+2","69+2","70+2","77+2","77+2","77+2","70+2",63,59,76,76,55,71,66,73,69,74,59,58,56,73,58,77,75,54,86,72,92,79,65,66,66,68,74,77,73,11,11,8,7,12,"Liga Nos","Portugal",6000000,12000,"Midfielder","A. Samaris, CDM",57.6666666666667,NA
"295",295,"A. Sanabria",22,"https://cdn.sofifa.com/players/219/932/20_120.png","Paraguay","https://cdn.sofifa.org/flags/58.png",79,85,"Real Betis","https://cdn.sofifa.com/teams/449/light_60.png","€17.5M","€27K",1894,"Right",1,4,4,"High/ Medium","ST",11,"2021",180,74,"78+2","78+2","78+2","77+2","78+2","78+2","78+2","77+2","76+2","76+2","76+2","76+2","68+2","68+2","68+2","76+2","55+2","52+2","52+2","52+2","55+2","51+2","46+2","46+2","46+2","51+2",67,81,77,74,67,82,73,64,63,83,77,79,78,74,75,75,75,69,76,65,32,21,82,73,69,76,50,20,15,8,14,9,14,13,"La Liga","Spain",17500000,27000,"Forward","A. Sanabria, ST",78,NA
"296",296,"A. Sánchez",29,"https://cdn.sofifa.com/players/184/941/20_120.png","Chile","https://cdn.sofifa.org/flags/55.png",85,85,"Manchester United","https://cdn.sofifa.com/teams/11/light_60.png","€37.5M","€215K",2172,"Right",4,3,4,"High/ High","RW",7,"2022",170,74,"81+3","81+3","81+3","82+3","82+3","82+3","82+3","82+3","82+3","82+3","82+3","82+3","77+3","77+3","77+3","82+3","65+3","64+3","64+3","64+3","65+3","62+3","57+3","57+3","57+3","62+3",77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13,"Premier League","UK",37500000,215000,"Forward","A. Sánchez, RW",85,NA
"297",297,"A. Santurro",26,"https://cdn.sofifa.com/players/200/629/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",68,72,"Bologna","https://cdn.sofifa.com/teams/189/light_60.png","€800K","€9K",1133,"Right",1,2,1,"Medium/ Medium","GK",29,"2020",193,86,"","","","","","","","","","","","","","","","","","","","","","","","","","",12,5,10,33,20,22,18,11,37,29,42,49,53,56,50,39,50,32,46,14,41,21,13,24,22,45,17,13,12,70,64,68,68,72,"Serie A","Italy",800000,9000,"Goal Keeper","A. Santurro, GK",48,NA
"298",298,"A. Schöpf",24,"https://cdn.sofifa.com/players/220/925/20_120.png","Austria","https://cdn.sofifa.org/flags/4.png",77,82,"FC Schalke 04","https://cdn.sofifa.com/teams/34/light_60.png","€12M","€27K",1974,"Right",1,4,3,"High/ High","RM",18,"2021",178,74,"70+2","70+2","70+2","75+2","74+2","74+2","74+2","75+2","74+2","74+2","74+2","76+2","72+2","72+2","72+2","76+2","71+2","67+2","67+2","67+2","71+2","67+2","60+2","60+2","60+2","67+2",76,72,44,75,65,80,69,61,62,79,78,77,78,76,77,68,62,95,62,72,60,59,74,65,64,73,61,60,50,13,6,13,11,10,"Bundesliga","Germany",12000000,27000,"Midfielder","A. Schöpf, RM",77.6666666666667,NA
"299",299,"A. Schürrle",27,"https://cdn.sofifa.com/players/193/130/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",77,77,"Fulham","https://cdn.sofifa.com/teams/144/light_60.png","€9.5M","€47K",2029,"Right",3,4,3,"High/ High","RM",14,"Jun 30, 2020",183,71,"76+3","76+3","76+3","77+3","77+3","77+3","77+3","77+3","76+3","76+3","76+3","76+3","70+3","70+3","70+3","76+3","64+3","60+3","60+3","60+3","64+3","62+3","55+3","55+3","55+3","62+3",76,78,63,75,81,79,80,70,58,77,79,78,74,78,75,82,69,76,67,82,71,41,80,76,77,75,42,39,55,7,11,12,9,12,"Premier League","UK",9500000,47000,"Midfielder","A. Schürrle, RM",77,NA
"300",300,"A. Schwolow",26,"https://cdn.sofifa.com/players/202/789/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",77,78,"SC Freiburg","https://cdn.sofifa.com/teams/25/light_60.png","€7M","€19K",1117,"Right",1,3,1,"Medium/ Medium","GK",1,"2020",188,84,"","","","","","","","","","","","","","","","","","","","","","","","","","",9,12,12,26,11,15,13,16,23,22,36,38,40,74,42,21,72,31,67,15,26,13,10,34,22,32,16,17,9,76,77,71,72,79,"Bundesliga","Germany",7000000,19000,"Goal Keeper","A. Schwolow, GK",38,NA
"301",301,"A. Seculin",27,"https://cdn.sofifa.com/players/197/689/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",70,71,"Chievo Verona","https://cdn.sofifa.com/teams/192/light_60.png","€1.4M","€7K",1018,"Right",1,3,1,"Medium/ Medium","GK",16,"2019",190,80,"","","","","","","","","","","","","","","","","","","","","","","","","","",13,12,12,29,11,12,12,12,25,21,30,30,43,64,37,21,41,29,48,12,33,10,11,43,23,58,23,10,12,73,67,57,63,79,"Serie A","Italy",1400000,7000,"Goal Keeper","A. Seculin, GK",34.3333333333333,NA
"302",302,"A. Šemper",20,"https://cdn.sofifa.com/players/244/274/20_120.png","Croatia","https://cdn.sofifa.org/flags/10.png",67,80,"Chievo Verona","https://cdn.sofifa.com/teams/192/light_60.png","€1.2M","€3K",916,"Right",1,2,1,"Medium/ Medium","GK",1,"2022",193,91,"","","","","","","","","","","","","","","","","","","","","","","","","","",14,15,12,23,9,12,12,13,24,15,19,19,21,64,22,18,31,21,47,13,26,11,9,63,15,21,13,12,15,71,63,61,68,65,"Serie A","Italy",1200000,3000,"Goal Keeper","A. Šemper, GK",19.6666666666667,NA
"303",303,"A. Sevinç",19,"https://cdn.sofifa.com/players/237/312/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",61,75,"Trabzonspor","https://cdn.sofifa.com/teams/436/light_60.png","€550K","€3K",1519,"Right",1,3,2,"High/ Medium","RW",42,"2020",170,70,"57+2","57+2","57+2","60+2","60+2","60+2","60+2","60+2","60+2","60+2","60+2","59+2","54+2","54+2","54+2","59+2","45+2","41+2","41+2","41+2","45+2","42+2","34+2","34+2","34+2","42+2",54,55,42,58,60,62,61,56,52,60,72,70,76,61,75,64,44,48,31,58,38,23,60,59,60,53,29,25,22,7,12,6,9,10,"Süper Lig","Turkey",550000,3000,"Forward","A. Sevinç, RW",72.6666666666667,NA
"304",304,"A. Sissoko",28,"https://cdn.sofifa.com/players/189/568/20_120.png","Mali","https://cdn.sofifa.org/flags/126.png",70,70,"Akhisar Belediyespor","https://cdn.sofifa.com/teams/111340/light_60.png","€1.4M","€10K",1866,"Left",1,3,2,"High/ Medium","LDM",20,"2019",183,75,"65+2","65+2","65+2","64+2","64+2","64+2","64+2","64+2","64+2","64+2","64+2","66+2","66+2","66+2","66+2","66+2","68+2","68+2","68+2","68+2","68+2","68+2","67+2","67+2","67+2","68+2",69,61,61,65,58,54,54,47,63,73,67,69,71,72,62,72,68,83,74,52,74,70,66,64,52,68,70,65,61,14,10,10,7,8,"Süper Lig","Turkey",1400000,10000,"Midfielder","A. Sissoko, LDM",69,NA
"305",305,"A. Smith",27,"https://cdn.sofifa.com/players/190/885/20_120.png","England","https://cdn.sofifa.org/flags/14.png",76,76,"Bournemouth","https://cdn.sofifa.com/teams/1943/light_60.png","€6.5M","€51K",1943,"Right",1,3,3,"High/ Medium","RB",15,"2021",180,78,"65+2","65+2","65+2","70+2","69+2","69+2","69+2","70+2","70+2","70+2","70+2","71+2","71+2","71+2","71+2","71+2","75+2","72+2","72+2","72+2","75+2","75+2","71+2","71+2","71+2","75+2",74,43,64,74,43,76,64,66,63,74,77,80,72,74,69,72,49,76,65,68,66,74,68,69,48,72,74,78,76,8,9,15,9,6,"Premier League","UK",6500000,51000,"Defender","A. Smith, RB",76.3333333333333,NA
"306",306,"A. Smithies",28,"https://cdn.sofifa.com/players/184/436/20_120.png","England","https://cdn.sofifa.org/flags/14.png",73,75,"Cardiff City","https://cdn.sofifa.com/teams/1961/light_60.png","€3.3M","€28K",1211,"Right",1,2,1,"Medium/ Medium","GK",12,"2022",188,88,"","","","","","","","","","","","","","","","","","","","","","","","","","",14,11,17,30,13,14,11,11,15,23,59,59,33,65,44,46,82,39,66,13,37,24,17,43,21,58,15,12,17,76,69,67,74,74,"Premier League","UK",3300000,28000,"Goal Keeper","A. Smithies, GK",50.3333333333333,NA
"307",307,"A. Solano",20,"https://cdn.sofifa.com/players/246/061/20_120.png","Colombia","https://cdn.sofifa.org/flags/56.png",62,72,"Atlético Madrid","https://cdn.sofifa.com/teams/240/light_60.png","€425K","€5K",1540,"Right",1,3,2,"Medium/ Medium","RB",33,"2020",175,70,"49+2","49+2","49+2","55+2","52+2","52+2","52+2","55+2","53+2","53+2","53+2","56+2","54+2","54+2","54+2","56+2","61+2","58+2","58+2","58+2","61+2","60+2","58+2","58+2","58+2","60+2",61,28,52,57,26,60,41,34,52,62,67,66,64,62,73,49,62,63,52,35,56,60,47,46,40,55,57,61,61,8,6,13,9,10,"La Liga","Spain",425000,5000,"Defender","A. Solano, RB",65.6666666666667,NA
"308",308,"A. Søndergaard",17,"https://cdn.sofifa.com/players/242/297/20_120.png","Denmark","https://cdn.sofifa.org/flags/13.png",54,77,"Wolverhampton Wanderers","https://cdn.sofifa.com/teams/110/light_60.png","€120K","€2K",844,"Right",1,4,1,"Medium/ Medium","GK",62,"2020",188,76,"","","","","","","","","","","","","","","","","","","","","","","","","","",11,8,12,23,6,6,14,10,22,18,21,20,38,51,32,15,60,24,64,5,28,6,4,33,13,39,12,12,11,56,54,50,51,54,"Premier League","UK",120000,2000,"Goal Keeper","A. Søndergaard, GK",26.3333333333333,NA
"309",309,"A. Sørloth",22,"https://cdn.sofifa.com/players/216/549/20_120.png","Norway","https://cdn.sofifa.org/flags/36.png",70,76,"Crystal Palace","https://cdn.sofifa.com/teams/1799/light_60.png","€2.5M","€25K",1649,"Left",1,4,3,"High/ Medium","ST",21,"2022",193,90,"68+2","68+2","68+2","63+2","66+2","66+2","66+2","63+2","62+2","62+2","62+2","63+2","57+2","57+2","57+2","63+2","46+2","45+2","45+2","45+2","46+2","44+2","42+2","42+2","42+2","44+2",51,72,70,59,64,69,61,51,51,66,67,74,44,61,56,75,54,69,81,64,67,19,65,57,63,63,19,21,21,15,12,8,15,8,"Premier League","UK",2500000,25000,"Forward","A. Sørloth, ST",61.6666666666667,NA
"310",310,"A. Soumaoro",26,"https://cdn.sofifa.com/players/200/353/20_120.png","France","https://cdn.sofifa.org/flags/18.png",74,79,"LOSC Lille","https://cdn.sofifa.com/teams/65/light_60.png","€6M","€24K",1627,"Right",1,3,2,"Medium/ Medium","LCB",5,"2021",188,91,"50+2","50+2","50+2","49+2","47+2","47+2","47+2","49+2","47+2","47+2","47+2","51+2","52+2","52+2","52+2","51+2","64+2","64+2","64+2","64+2","64+2","66+2","72+2","72+2","72+2","66+2",57,31,75,61,35,47,31,36,49,56,52,64,53,60,65,48,83,72,91,42,72,70,34,32,40,66,71,74,72,6,10,8,16,14,"Ligue 1","France",6000000,24000,"Defender","A. Soumaoro, LCB",56.3333333333333,NA
"311",311,"A. Stephens",23,"https://cdn.sofifa.com/players/245/263/20_120.png","Panama","https://cdn.sofifa.org/flags/87.png",67,70,"Santa Clara","https://cdn.sofifa.com/teams/1438/light_60.png","€975K","€2K",1503,"Right",1,3,3,"High/ Medium","ST",18,"2021",178,64,"66+2","66+2","66+2","65+2","68+2","68+2","68+2","65+2","67+2","67+2","67+2","65+2","62+2","62+2","62+2","65+2","45+2","43+2","43+2","43+2","45+2","41+2","32+2","32+2","32+2","41+2",34,70,54,69,49,72,41,37,62,71,67,71,56,68,68,65,38,68,46,64,21,19,71,61,68,59,13,14,18,5,6,14,11,12,"Liga Nos","Portugal",975000,2000,"Forward","A. Stephens, ST",64.6666666666667,NA
"312",312,"A. Stolz",34,"https://cdn.sofifa.com/players/183/597/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",65,65,"TSG 1899 Hoffenheim","https://cdn.sofifa.com/teams/10029/light_60.png","€220K","€6K",1094,"Right",1,2,1,"Medium/ Medium","GK",33,"2019",188,89,"","","","","","","","","","","","","","","","","","","","","","","","","","",12,15,11,23,14,14,9,14,38,22,44,46,50,56,32,23,67,41,64,14,37,19,12,25,21,50,14,19,10,69,67,66,63,63,"Bundesliga","Germany",220000,6000,"Goal Keeper","A. Stolz, GK",46.6666666666667,NA
"313",313,"A. Surman",31,"https://cdn.sofifa.com/players/172/768/20_120.png","England","https://cdn.sofifa.org/flags/14.png",75,75,"Bournemouth","https://cdn.sofifa.com/teams/1943/light_60.png","€5.5M","€53K",1938,"Left",1,4,3,"Medium/ Medium","LCM",6,"2019",178,73,"66+2","66+2","66+2","68+2","69+2","69+2","69+2","68+2","72+2","72+2","72+2","70+2","74+2","74+2","74+2","70+2","68+2","71+2","71+2","71+2","68+2","67+2","66+2","66+2","66+2","67+2",68,63,59,82,55,67,61,68,77,77,59,53,59,75,72,68,70,72,65,67,68,66,66,78,67,76,66,68,61,16,14,7,16,8,"Premier League","UK",5500000,53000,"Midfielder","A. Surman, LCM",57,NA
"314",314,"A. Szalai",30,"https://cdn.sofifa.com/players/184/789/20_120.png","Hungary","https://cdn.sofifa.org/flags/23.png",76,76,"TSG 1899 Hoffenheim","https://cdn.sofifa.com/teams/10029/light_60.png","€7.5M","€35K",1772,"Right",2,3,3,"Medium/ Medium","ST",9,"2019",193,90,"74+2","74+2","74+2","67+2","71+2","71+2","71+2","67+2","68+2","68+2","68+2","65+2","65+2","65+2","65+2","65+2","50+2","55+2","55+2","55+2","50+2","48+2","53+2","53+2","53+2","48+2",49,80,84,72,68,69,58,42,48,75,45,46,63,76,59,82,64,65,87,64,74,41,78,65,76,75,31,41,13,14,12,6,16,9,"Bundesliga","Germany",7500000,35000,"Forward","A. Szalai, ST",51.3333333333333,NA
"315",315,"A. Szymanowski",29,"https://cdn.sofifa.com/players/210/333/20_120.png","Argentina","https://cdn.sofifa.org/flags/52.png",77,77,"CD Leganés","https://cdn.sofifa.com/teams/100888/light_60.png","€8.5M","€31K",1910,"Left",2,3,4,"High/ Medium","LM",11,"2020",175,65,"73+2","73+2","73+2","77+2","76+2","76+2","76+2","77+2","75+2","75+2","75+2","76+2","68+2","68+2","68+2","76+2","61+2","55+2","55+2","55+2","61+2","58+2","50+2","50+2","50+2","58+2",78,78,67,74,66,79,69,57,63,76,89,83,83,72,87,68,52,68,60,68,55,28,75,76,70,71,35,42,45,11,8,10,12,6,"La Liga","Spain",8500000,31000,"Midfielder","A. Szymanowski, LM",85,NA
"316",316,"A. Tahar",28,"https://cdn.sofifa.com/players/193/715/20_120.png","Algeria","https://cdn.sofifa.org/flags/97.png",65,65,"Boavista FC","https://cdn.sofifa.com/teams/1898/light_60.png","€450K","€2K",1823,"Right",1,3,2,"Medium/ Medium","CDM",21,"2019",175,70,"62+2","62+2","62+2","63+2","63+2","63+2","63+2","63+2","62+2","62+2","62+2","62+2","61+2","61+2","61+2","62+2","62+2","64+2","64+2","64+2","62+2","62+2","66+2","66+2","66+2","62+2",59,58,63,66,56,69,65,58,60,69,65,66,66,55,71,68,79,49,66,65,72,69,59,54,55,63,69,65,61,14,9,7,6,10,"Liga Nos","Portugal",450000,2000,"Midfielder","A. Tahar, CDM",65.6666666666667,NA
"317",317,"A. Tameze",24,"https://cdn.sofifa.com/players/213/242/20_120.png","Cameroon","https://cdn.sofifa.org/flags/103.png",74,80,"OGC Nice","https://cdn.sofifa.com/teams/72/light_60.png","€6.5M","€21K",1898,"Right",1,3,3,"Medium/ Medium","CM",5,"2021",180,78,"65+2","65+2","65+2","66+2","67+2","67+2","67+2","66+2","69+2","69+2","69+2","67+2","70+2","70+2","70+2","67+2","69+2","72+2","72+2","72+2","69+2","70+2","72+2","72+2","72+2","70+2",50,58,69,75,35,70,52,43,71,78,69,69,73,69,70,65,69,72,71,57,69,72,57,69,54,70,67,78,75,13,16,14,15,14,"Ligue 1","France",6500000,21000,"Midfielder","A. Tameze, CM",70.3333333333333,NA
"318",318,"A. Taoui",16,"https://cdn.sofifa.com/players/244/403/20_120.png","France","https://cdn.sofifa.org/flags/18.png",64,75,"Toulouse Football Club","https://cdn.sofifa.com/teams/1809/light_60.png","€700K","€3K",1546,"Left",1,4,3,"Medium/ Medium","ST",35,"2021",178,69,"62+2","62+2","62+2","63+2","62+2","62+2","62+2","63+2","60+2","60+2","60+2","61+2","52+2","52+2","52+2","61+2","45+2","40+2","40+2","40+2","45+2","43+2","37+2","37+2","37+2","43+2",63,69,65,48,49,68,47,42,46,68,73,68,71,57,72,58,67,59,55,58,45,25,61,52,65,52,17,19,20,8,6,6,8,11,"Ligue 1","France",700000,3000,"Forward","A. Taoui, ST",70.6666666666667,NA
"319",319,"A. Tchouaméni",18,"https://cdn.sofifa.com/players/241/637/20_120.png","France","https://cdn.sofifa.org/flags/18.png",70,84,"FC Girondins de Bordeaux","https://cdn.sofifa.com/teams/59/light_60.png","€3.6M","€10K",1811,"Right",1,3,3,"Medium/ Medium","CM",17,"2022",185,76,"64+2","64+2","64+2","64+2","66+2","66+2","66+2","64+2","66+2","66+2","66+2","66+2","68+2","68+2","68+2","66+2","66+2","70+2","70+2","70+2","66+2","66+2","69+2","69+2","69+2","66+2",47,48,64,73,44,69,47,45,70,73,69,72,66,69,58,67,71,70,74,46,72,69,67,65,47,70,69,71,61,9,8,12,12,7,"Ligue 1","France",3600000,10000,"Midfielder","A. Tchouaméni, CM",69,NA
"320",320,"A. Tembeng",26,"https://cdn.sofifa.com/players/239/483/20_120.png","Cameroon","https://cdn.sofifa.org/flags/103.png",67,70,"CD Tondela","https://cdn.sofifa.com/teams/112516/light_60.png","€800K","€2K",1618,"Left",1,3,2,"Medium/ Medium","CDM",6,"2019",188,85,"54+2","54+2","54+2","52+2","53+2","53+2","53+2","52+2","54+2","54+2","54+2","54+2","57+2","57+2","57+2","54+2","60+2","65+2","65+2","65+2","60+2","61+2","67+2","67+2","67+2","61+2",49,41,55,68,38,53,41,39,64,61,58,56,56,62,42,77,62,48,83,32,76,69,39,47,49,61,70,68,65,7,7,14,7,15,"Liga Nos","Portugal",800000,2000,"Midfielder","A. Tembeng, CDM",56.6666666666667,NA
"321",321,"A. Thomasson",24,"https://cdn.sofifa.com/players/208/787/20_120.png","France","https://cdn.sofifa.org/flags/18.png",75,77,"RC Strasbourg Alsace","https://cdn.sofifa.com/teams/76/light_60.png","€8M","€16K",1973,"Right",1,4,4,"Medium/ Medium","LM",26,"2021",178,72,"70+2","70+2","70+2","72+2","73+2","73+2","73+2","72+2","74+2","74+2","74+2","72+2","73+2","73+2","73+2","72+2","67+2","68+2","68+2","68+2","67+2","66+2","63+2","63+2","63+2","66+2",70,67,63,78,64,74,71,54,73,77,68,74,76,71,83,76,70,67,54,74,62,65,71,76,57,76,57,66,55,14,9,15,9,13,"Ligue 1","France",8000000,16000,"Midfielder","A. Thomasson, LM",72.6666666666667,NA
"322",322,"A. Touré",24,"https://cdn.sofifa.com/players/210/450/20_120.png","France","https://cdn.sofifa.org/flags/18.png",76,79,"FC Nantes","https://cdn.sofifa.com/teams/71/light_60.png","€8M","€20K",1719,"Right",1,3,3,"Low/ High","LCM",19,"2022",188,84,"58+2","58+2","58+2","57+2","60+2","60+2","60+2","57+2","61+2","61+2","61+2","60+2","68+2","68+2","68+2","60+2","68+2","74+2","74+2","74+2","68+2","68+2","72+2","72+2","72+2","68+2",48,38,51,72,42,60,49,49,73,75,56,42,38,71,38,77,30,75,89,77,73,77,46,56,39,61,77,79,74,8,15,9,9,7,"Ligue 1","France",8000000,20000,"Midfielder","A. Touré, LCM",45.3333333333333,NA
"323",323,"A. Touré",22,"https://cdn.sofifa.com/players/227/873/20_120.png","Mali","https://cdn.sofifa.org/flags/126.png",74,79,"AS Monaco","https://cdn.sofifa.com/teams/69/light_60.png","€6.5M","€38K",1818,"Right",1,3,3,"High/ Medium","RB",38,"2019",183,72,"64+2","64+2","64+2","66+2","65+2","65+2","65+2","66+2","64+2","64+2","64+2","68+2","65+2","65+2","65+2","68+2","72+2","69+2","69+2","69+2","72+2","72+2","71+2","71+2","71+2","72+2",73,60,69,71,30,72,67,35,55,73,72,74,64,69,64,55,74,76,74,32,59,72,60,56,40,67,70,76,74,11,15,7,7,12,"Ligue 1","France",6500000,38000,"Defender","A. Touré, RB",70,NA
"324",324,"A. Traoré",29,"https://cdn.sofifa.com/players/178/323/20_120.png","Burkina Faso","https://cdn.sofifa.org/flags/101.png",73,73,"Atiker Konyaspor","https://cdn.sofifa.com/teams/101033/light_60.png","€3.9M","€16K",1959,"Left",1,4,4,"High/ Low","CAM",12,"2019",175,71,"70+2","70+2","70+2","73+2","72+2","72+2","72+2","73+2","72+2","72+2","72+2","72+2","67+2","67+2","67+2","72+2","60+2","58+2","58+2","58+2","60+2","58+2","56+2","56+2","56+2","58+2",72,68,68,70,66,77,72,74,62,75,84,82,83,67,65,72,83,70,68,69,78,40,66,74,70,71,58,38,32,11,10,9,12,14,"Süper Lig","Turkey",3900000,16000,"Midfielder","A. Traoré, CAM",83,NA
"325",325,"A. Traoré",28,"https://cdn.sofifa.com/players/193/177/20_120.png","Ivory Coast","https://cdn.sofifa.org/flags/108.png",73,73,"Göztepe SK","https://cdn.sofifa.com/teams/101026/light_60.png","€3.2M","€19K",1906,"Left",1,2,3,"High/ Medium","LB",5,"2019",170,73,"59+2","59+2","59+2","65+2","62+2","62+2","62+2","65+2","64+2","64+2","64+2","68+2","65+2","65+2","65+2","68+2","72+2","68+2","68+2","68+2","72+2","71+2","68+2","68+2","68+2","71+2",73,30,57,65,50,69,65,34,67,64,85,88,82,71,82,60,83,85,70,49,69,73,65,61,53,73,61,71,69,11,15,6,11,12,"Süper Lig","Turkey",3200000,19000,"Defender","A. Traoré, LB",85,NA
"326",326,"A. Traoré",23,"https://cdn.sofifa.com/players/225/151/20_120.png","Mali","https://cdn.sofifa.org/flags/126.png",72,77,"AS Monaco","https://cdn.sofifa.com/teams/69/light_60.png","€4.1M","€35K",1817,"Left",1,3,3,"Medium/ Medium","CM",11,"2020",180,72,"63+2","63+2","63+2","67+2","68+2","68+2","68+2","67+2","70+2","70+2","70+2","68+2","71+2","71+2","71+2","68+2","66+2","69+2","69+2","69+2","66+2","66+2","65+2","65+2","65+2","66+2",54,52,55,75,43,75,59,41,70,75,67,69,64,72,66,57,63,65,66,57,68,69,67,74,53,69,60,68,63,8,11,9,9,13,"Ligue 1","France",4100000,35000,"Midfielder","A. Traoré, CM",66.6666666666667,NA
